id,deal_id,type,title,description,source,current_status_id,created_at,updated_at,owner_individual_id,tenant_id,account_id
67,1,Job,Okta - Senior Software Engineer Sessions (Auth0),,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,64
68,1,Job,Melio - Full Stack Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,65
69,1,Job,"Xogene, LLC - AI Software Developer",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,66
71,1,Job,New York Post - Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,68
72,1,Job,"Inkeep - Member of the Technical Staff, TypeScript Engineer (Principal)",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,69
73,1,Job,Amplify Education Inc. - Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,70
74,1,Job,Siro - Full Stack Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,71
75,1,Job,"Arc - Software Engineer, Fullstack",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,72
76,1,Job,"Courier Health - Senior Software Engineer, Backend",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,73
77,1,Job,Tarte - eCommerce Integration Specialist,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,74
78,1,Job,Regrello - Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,75
79,1,Job,Rokt - Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,76
80,1,Job,Christine Valmy School - CRM Developer/Consultant,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,77
81,1,Job,"Baseten - Senior Software Engineer, Core Product",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,78
82,1,Job,"Scale GP - Senior Software Engineer, Full-Stack - Enterprise Gen AI",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,79
83,1,Job,"Viam - Backend Software Engineer, Netcore",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,80
84,1,Job,"Hearth - Senior Software Engineer, Backend",,manual,2,2025-11-11 11:22:46+00,2025-11-11 17:39:18+00,,1,81
85,1,Job,DataDog - Senior Software Engineer,,manual,5,2025-11-11 11:22:46+00,2025-11-11 23:02:42+00,,1,82
86,1,Job,LogRocket - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,83
87,1,Job,Tennr - Backend Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,84
88,1,Job,Peloton - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,7
89,1,Job,Paramount - Lead Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,85
90,1,Job,Modern Life - Software Engineer - Full Stack,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,86
91,1,Job,Kale - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,87
92,1,Job,Crosby - Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,27
93,1,Job,Applied Labs - Founding Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,88
94,1,Job,"Miter - Software Engineer, INtegrations",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,89
